C++老师,苏州,爱思编程,0-20人,5-6K,1-3年,本科,"['销售经验', 'C#', '少儿兴趣班', 'NOIP课程教学经验', 'C语言', 'HTML', '计算机相关专业', '线下授课', '培训师', '全职工作', '线下教学', 'C语言培训', 'JavaScript', '人工智能', '日常教学']"
销售经理,苏州,睿芯行,20-99人,11-22K,经验不限,学历不限,"['企业（To B）', '人工智能', '机器人', '工业自动化']"
ai算法,苏州,某知名家电公司,1000-9999人,25-40K·15薪,3-5年,本科,['无明显侧重']
首席运营官coo,苏州,喆洋孵化咨询,0-20人,40-70K·15薪,3-5年,硕士,"['公司管理', '运营管理', '客户管理', '战略管理', '团队管理', '联合创始人', '合伙人']"
技术总监,苏州,黑云科技,20-99人,27-35K,3-5年,本科,"['人工智能', '项目总监', '区块链']"
AI算法高级研究员,苏州,某仪器仪表公司,20-99人,25-40K·14薪,3-5年,硕士,"['C/C++', '深度神经网络', '图像处理', 'windows']"
AI算法工程师,苏州,苏州方兴,100-499人,20-40K,1-3年,本科,"['Python', '机器学习算法/工程化经验', '深度学习经验']"
教研,苏州,缪思教育,20-99人,8-10K,经验不限,本科,['教研']
ai算法,苏州,某知名集团公司,1000-9999人,30-60K·15薪,经验不限,本科,['机器人']
电气工程师(锂电厂家),苏州,某知名新能源公司,1000-9999人,20-35K·14薪,5-10年,本科,"['PLC工程师', '自动化', '锂电']"
大客户销售经理（华东）,苏州,思谋科技,500-999人,20-40K·18薪,5-10年,本科,"['视觉检测', 'AOI']"
资深销售经理（人工智能领域）,苏州,集萃脑机融合所,20-99人,8-10K,5-10年,本科,"['企业（To B）', '对企业/机构（To B）销售经验', '快消品销售经验', '教育培训', '互联网/科技']"
AI产品经理,苏州,科沃斯机器人有限公司,1000-9999人,20-40K·14薪,5-10年,本科,"['智能家居', '智能汽车']"
3D图像算法研究员,苏州,某大型仪器仪表公司,100-499人,25-50K·14薪,1-3年,博士,"['机器学习算法/工程化经验', '雷达成像', '标定算法', '算法研究']"
ai算法工程师,苏州,云学堂,1000-9999人,25-40K·14薪,3-5年,本科,"['业务导向', 'Python', '数学/统计相关专业', '机器学习算法/工程化经验']"
产品总监,苏州,某500强上市公司,10000人以上,30-40K·14薪,经验不限,本科,"['PMS', '住宿']"
